category_list,funding_total_usd,country_code,funding_rounds,Num_of_investor,funding_duration,first_funding_at_UTC,last_funding_at_UTC,label
Discounts|Entertainment|Internet|Ticketing,33457.0,FRA,1,1,0,14791,14791,0
Curated Web,966728.0,BEL,2,3,459,15194,15653,0
Internet of Things|M2M|Software,4000000.0,USA,1,1,0,16444,16444,1
Application Platforms|Health and Wellness|Mobile|Mobile Health|Software,300000.0,USA,2,1,305,16205,16510,0
Software,85000000.0,USA,1,1,0,12872,12872,1
Cloud Infrastructure|Corporate IT|Enterprise Software,37644420.0,USA,4,5,1043,15314,16357,0
Landscaping|Natural Resources,20000.0,USA,1,1,0,15795,15795,0
SaaS|Technology|Telecommunications,3167062.0,IRL,1,1,0,11992,11992,0
Curated Web|Online Dating|Social Network Media,2300000.0,USA,1,6,0,16358,16358,0
Messaging,939000.0,USA,1,1,0,13818,13818,0
EdTech|Education|Software,95875000.0,USA,6,24,1671,14328,15999,1
Curated Web,162000000.0,USA,5,24,1288,10896,12184,1
Biotechnology,128477567.0,USA,7,13,2856,13655,16511,0
Apps|Creative|Design|Finance|Mobile|Photography|Software,25000.0,USA,1,1,0,15845,15845,0
Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,25654560.0,USA,5,17,1259,14281,15540,0
Information Technology|Retail|Software,15000000.0,USA,2,4,1031,11323,12354,1
Consumer Electronics|Software,17800000.0,USA,1,3,0,16293,16293,0
Biotechnology|Life Sciences|Media|News|Pharmaceuticals,5000000.0,CHN,1,1,0,14396,14396,0
Software,7650000.0,CAN,1,2,0,15720,15720,0
Communities|Corporate Training|Education,1543920.0,FRA,1,2,0,15978,15978,0
Enterprise Software,1623640.0,CHN,1,1,0,15765,15765,0
Data Centers|Information Technology|Internet|Services,16000000.0,USA,1,2,0,16323,16323,0
Artificial Intelligence|Fashion|Technology,609229.0,ESP,4,4,275,15309,15584,0
Android|Apps|iPhone|Mobile|Sports,6700000.0,GBR,2,5,609,15733,16342,0
Blogging Platforms|Internet|Public Relations|Social Media|Startups,1573976.0,CHN,3,3,1658,15065,16723,0
Bitcoin,525000.0,USA,2,4,78,16144,16222,0
Mobile,1629549.0,CHN,1,1,0,16130,16130,0
Health and Wellness,3750000.0,CHN,2,2,365,13208,13573,0
Networking|Online Travel|Travel,1719583.0,CHE,2,3,1074,15187,16261,0
Cloud Computing|Communications Hardware|Contact Centers|Customer Service|Internet|Software|VoIP|Web Development,75000.0,BRA,1,1,0,15715,15715,0
Babies|Big Data Analytics|E-Commerce|Fashion|Kids,35000.0,USA,1,1,0,16617,16617,0
Customer Service|Sales and Marketing|Software|Telephony,9311190.0,USA,4,6,904,15719,16623,0
Enterprise Software,7289000.0,USA,3,7,922,14600,15522,1
Biotechnology,1465000.0,USA,2,1,1219,14522,15741,0
Services,16674.0,NLD,1,1,0,16616,16616,0
3D Printing|Collaborative Consumption|Local|Marketplaces,4500000.0,NLD,2,6,371,15944,16315,0
3D Printing|Health and Wellness|Health Care,7500.0,USA,1,1,0,16205,16205,0
3D|3D Technology|E-Commerce|Internet|Online Shopping,240000.0,USA,2,1,134,16071,16205,0
Drones|Manufacturing,99000000.0,USA,4,25,899,15649,16548,0
Software,169500000.0,USA,3,1,271,16085,16356,1
Health Care,16399999.0,IRL,1,1,0,16623,16623,0
Business Services|Video Games,701760.0,FRA,1,1,0,14407,14407,0
3D|Medical|Physicians,1880000.0,USA,4,2,842,15797,16639,0
3D Technology|Human Computer Interaction|Sensors,50000.0,SVN,1,1,0,16008,16008,0
3D|Computer Vision|Kinect|Robotics|Software,2670000.0,RUS,2,3,639,14975,15614,0
3D Printing|3D Technology|Printing,30000.0,JOR,1,1,0,16071,16071,0
3D Printing,4247128.0,USA,3,2,505,16166,16671,0
Biotechnology,7436500.0,USA,2,1,1182,14393,15575,0
3D|Mobile,2065000.0,IND,2,2,974,13848,14822,0
Android|B2B|Brand Marketing|iPhone|Mobile|Music|Video Streaming,1700000.0,HUN,2,2,547,14975,15522,0
Software,2249999.0,USA,2,6,733,15429,16162,1
Music,20000000.0,USA,1,1,0,13243,13243,0
Mobile,746185.0,CHN,2,3,337,13208,13545,0
Semiconductors,13708150.0,CHN,3,5,924,13745,14669,0
Messaging|SMS,4000000.0,USA,1,2,0,13695,13695,0
Web Hosting,65000000.0,USA,3,11,1360,12784,14144,1
iOS|Location Based Services|Mobile|Online Dating|Social Media,500000.0,GBR,2,1,527,16199,16726,0
Biotechnology|Pharmaceuticals,4783500.0,ESP,2,2,221,13693,13914,0
Cloud Data Services|Services|Software,148000000.0,USA,3,12,1380,11078,12458,1
Consulting|Software,25920000.0,USA,4,2,1224,14638,15862,0
Software,1011601.0,USA,3,1,620,14648,15268,0
Curated Web,1500000.0,USA,1,1,0,13430,13430,0
Clean Technology,50000000.0,GBR,1,1,0,15044,15044,0
Curated Web|Tourism|Travel,1500000.0,CHN,2,2,446,15015,15461,0
Game,1000000.0,JPN,1,3,0,16280,16280,0
Mobile,1394250.0,FRA,1,2,0,14197,14197,0
Developer APIs|Enterprise Software|Infrastructure|Services|Software,5000000.0,USA,2,6,1100,14719,15819,0
Biotechnology,7063012.0,USA,4,7,1192,15217,16409,0
Physical Security|Security,13000000.0,USA,1,1,0,11897,11897,0
Manufacturing,13780000.0,FRA,1,1,0,14384,14384,0
Clean Technology,15152514.0,GBR,1,1,0,16132,16132,0
Software,1670000.0,USA,1,7,0,16540,16540,0
Clean Technology,15000000.0,USA,3,2,904,13761,14665,1
Software,272000.0,IRL,1,1,0,13634,13634,0
Coupons|Online Shopping|Payments|Retail Technology,50958896.6114209,IRL,2,4,2313,13452,15765,1
Security,64567194.0,USA,7,13,3283,13165,16448,0
Databases|Electronics|Storage,26000000.0,USA,1,4,0,12094,12094,1
Flash Storage|Security,3393925.0,USA,2,2,826,13929,14755,0
E-Commerce,2374979.0,USA,6,9,1347,15156,16503,0
Creative Industries|Entertainment|Television,228187.78333316397,GBR,1,1,0,15887,15887,0
Messaging,750000.0,USA,1,4,0,15166,15166,0
Security,38064570.0,USA,4,10,2165,13276,15441,1
Commercial Real Estate|Real Estate,17400000.0,USA,4,20,518,15218,15736,0
Web Hosting,2258720.0,SWE,1,1,0,13192,13192,1
Internet|Telecommunications,485841.245076705,SWE,2,5,769,15576,16345,0
Biotechnology,49656999.0,USA,5,4,1221,15384,16605,0
Clean Technology|Enterprise Software,1160000.0,USA,2,1,535,15584,16119,0
Biotechnology,500000.0,CAN,1,1,0,16759,16759,0
Automotive|Clean Energy|Cloud Computing|Internet|Software|Wireless,9416354.0,USA,6,2,1282,13361,14643,1
Ad Targeting|Big Data Analytics|Mobile Advertising,320288000.0,USA,8,31,3440,12843,16283,0
E-Commerce,500000.0,JPN,1,1,0,16295,16295,1
Hardware + Software,60000000.0,USA,5,8,3756,12951,16707,0
Human Resources|Recruiting|Social Recruiting,10511317.0,DEU,1,3,0,12193,12193,0
Apps|Education|Kids|Religion,50000.0,USA,1,1,0,15943,15943,0
Advertising|Software,1121078.0,GBR,4,6,889,15043,15932,0
Office Space,3607956.0,GBR,1,3,0,16407,16407,0
Pets,762500.0,BRA,1,1,0,15946,15946,0
Aerospace,95445.0,GBR,1,1,0,16102,16102,0
Internet|Mobile,15000.0,USA,1,1,0,16289,16289,0
Games,3500000.0,CHN,1,1,0,14599,14599,0
Software,740000.0,USA,2,1,285,15428,15713,0
E-Commerce|Enterprise Software|Loyalty Programs|Social Media,12900000.0,USA,6,31,1183,14593,15776,1
Apps|Internet|Photography|Promotional|Sales and Marketing,22325000.0,CAN,7,20,1509,15128,16637,0
E-Commerce|Online Shopping|Software,5000.0,NGA,1,1,0,16040,16040,0
Software,27000000.0,CHN,3,8,426,13269,13695,0
E-Commerce,9300000.0,CHN,3,6,1370,12478,13848,0
Finance,10000000.0,CHN,2,3,546,13149,13695,0
E-Commerce,1158814.0,CHN,2,2,275,15400,15675,0
Curated Web,10000000.0,CHN,1,2,0,13720,13720,0
Education,65100000.0,CHN,4,4,1057,15309,16366,0
Games,1500000.0,CHN,2,3,852,13970,14822,0
Internet,65000000.0,CHN,3,6,1131,15340,16471,0
Games,1000000.0,CHN,1,1,0,14579,14579,0
Art|Creative|Creative Industries,234705.0,DEU,3,3,0,16556,16556,0
E-Commerce,200000000.0,CHN,2,4,212,14944,15156,0
Photography,30000000.0,CHN,2,8,183,13665,13848,1
Curated Web|Internet|Software,876780000.0,CHN,6,6,3068,13180,16248,1
Curated Web,10000000.0,CHN,1,2,0,16042,16042,0
Mobile|Software|Web Design|Web Development,5100000.0,GBR,1,1,0,16233,16233,0
Mobile|Technology|Wireless,6100000.0,USA,2,1,370,16021,16391,1
Music|Ticketing|Web Development,368750.0,ESP,1,6,0,14527,14527,0
Education|Games|Video,12800000.0,USA,3,3,844,13604,14448,1
Art|Curated Web|Photography|Social Media,15873.0,GBR,1,1,0,15418,15418,0
Games,3987693.0,KOR,2,2,1098,14853,15951,1
Mobile,7000000.0,USA,1,1,0,14043,14043,1
Games|Mobile|Mobile Games|Online Gaming,3000000.0,USA,1,2,0,16267,16267,0
Advertising|Internet|Internet Marketing,17129760.0,USA,4,5,511,14412,14923,1
Accounting|Business Development|Finance|Software|Web Development,1300000.0,GBR,3,3,569,14424,14993,1
Browser Extensions|Curated Web|Social Media,100000.0,USA,1,1,0,14883,14883,0
Software,3050000.0,USA,3,2,122,16241,16363,1
Web Hosting,3019139.0,USA,2,2,598,15209,15807,0
Information Services|Information Technology|Internet Marketing|SEO,100000.0,USA,1,1,0,16372,16372,0
Enterprise Software,37143865.0,USA,5,3,1774,14844,16618,0
Concentrated Solar Power|Manufacturing|Solar,5714285.71428571,CAN,1,2,0,13708,13708,1
Mobile,1000000.0,CHN,2,3,212,16071,16283,0
Photography,30500000.0,CHN,3,6,1887,13453,15340,0
B2B|Predictive Analytics|Sales and Marketing,32000000.0,USA,3,7,672,15813,16485,0
Health and Wellness|Specialty Foods,8000000.0,USA,2,7,1,16324,16325,0
Finance,3134880.0,ITA,1,1,0,15413,15413,0
Software,6700000.0,USA,2,3,446,13098,13544,1
Social Network Media,1556687.0,GBR,3,1,365,16384,16749,0
Android|Apps|Cloud Computing|Collaboration|Email|Finance|Home & Garden|Internet|iOS|iPad|iPhone|Mac|Productivity Software|Software|Synchronization|Task Management|Web Development,23857750.0,DEU,5,7,1057,14964,16021,1
Analytics|E-Commerce|Software,6528902.0,USA,3,1,1250,14284,15534,0
Enterprise Software,295000.0,JPN,1,2,0,15883,15883,0
Development Platforms|Games|Online Gaming,150000.0,ISR,1,2,0,16023,16023,0
Games,10000000.0,USA,1,1,0,14804,14804,0
Bicycles|Communities,15000000.0,CHN,1,3,0,16520,16520,0
Analytics|Network Security|Shipping|Small and Medium Businesses|Startups,2450000.0,USA,5,6,810,15419,16229,0
Advertising|Consumers|E-Commerce|Mobile Commerce|Retail|SaaS|Software,1500000.0,USA,2,2,311,15273,15584,0
Clean Technology,16036000.0,USA,6,2,1291,15321,16612,0
Social Media,47570.0,GBR,1,1,0,15437,15437,0
Content Creators|Content Delivery|Licensing|Music|Music Services|Technology,20068328.451591,GBR,4,3,3007,13027,16034,1
Games,1136548.0,CHN,2,3,893,14730,15623,0
Analytics|B2B|Big Data|Business Intelligence|Enterprises|Enterprise Software|Finance|Mobile|SaaS,3000000.0,USA,1,1,0,16673,16673,0
Web Hosting,9850000.0,USA,4,7,1018,14975,15993,0
Brand Marketing|Communities|Consulting|Semantic Search|SEO,600000.0,USA,3,2,1581,14610,16191,0
Publishing,269260.0,NLD,2,4,84,15797,15881,0
Apps,500000.0,GBR,1,1,0,16517,16517,0
Design|Internet|Shared Services,4500000.0,USA,2,1,396,15887,16283,0
Finance Technology|FinTech|Mobile|Personal Finance|Technology|Wealth Management,17000000.0,HKG,2,8,941,15343,16284,0
Advertising|Email|Loyalty Programs|Mobile|SaaS|Sales and Marketing|Social Media|Software,2100000.0,CAN,1,1,0,14463,14463,0
Home Decor|Interior Design|Internet,25000.0,USA,2,2,348,14398,14746,0
Services,77000000.0,USA,2,15,560,10925,11485,0
Crowdsourcing|Design|Graphics,25000.0,USA,3,3,469,15273,15742,0
Entertainment|Games|Media,55398.0,ESP,1,1,0,16191,16191,0
Advertising|Content Discovery,140000.0,GBR,2,8,150,16102,16252,0
Games|Virtual Worlds,12250000.0,USA,2,2,1013,13939,14952,0
Exercise|Fitness|Tracking,2730000.0,USA,3,3,551,16127,16678,0
Messaging|Public Relations|Social Media,1500000.0,ISR,2,4,0,13879,13879,0
Clean Technology,30000000.0,USA,1,1,0,16238,16238,0
Music,5279980.0,USA,3,6,958,15639,16597,0
Travel,24600000.0,CHN,1,2,0,16022,16022,0
Analytics|Apps|Big Data|E-Commerce|Education|Enterprise Software|Internet of Things|Media|Mobile|Payments|SaaS|Social Media,150000.0,SGP,1,1,0,16040,16040,0
Consulting,4500000.0,USA,2,1,54,15897,15951,0
Manufacturing,29300000.0,USA,4,14,973,15588,16561,0
Media|News|Publishing|Soccer|Sports,38800000.0,GBR,3,9,882,15832,16714,0
Mobile,20000000.0,CHN,1,2,0,15309,15309,0
Mobile,30000000.0,CHN,1,3,0,15309,15309,1
Food Processing,3000000.0,USA,2,2,349,16394,16743,0
Social Media,4502251.0,CHN,1,1,0,14944,14944,0
Application Platforms|Development Platforms|Mass Customization,9000000.0,CHN,1,5,0,16518,16518,0
Finance,63590263.0,CHN,1,1,0,15034,15034,0
Curated Web|Finance,19790000.0,CHN,3,7,989,15248,16237,0
Mobile,1000000.0,IND,1,1,0,16372,16372,0
Mobile|Publishing,10450000.0,USA,3,15,1019,14982,16001,0
Local Businesses,2160000.0,SGP,2,7,268,16196,16464,0
E-Commerce|Payments,83574271.0,CHN,5,5,2681,13007,15688,1
E-Commerce Platforms|Manufacturing|Material Science,500000.0,USA,2,2,373,16008,16381,0
Crowdsourcing|Design|Marketplaces|Online Shopping,45000000.0,USA,2,6,1448,15092,16540,0
Fashion|File Sharing,105651.0,AUS,2,4,63,15429,15492,0
E-Commerce|Trading|Video Games,100000.0,USA,1,1,0,16375,16375,0
Automotive,75000000.0,CHN,1,2,0,15553,15553,0
Apps|Logistics|Postal and Courier Services,442943.0,BRA,1,1,0,16301,16301,0
E-Commerce|Social Commerce,20000.0,IND,1,1,0,15584,15584,0
Manufacturing,7575757.0,CHN,1,1,0,14975,14975,0
Android|iOS|Mobile|Mobile Payments|SaaS|Taxis,25000000.0,BRA,3,8,642,15891,16533,0
Software,210000.0,IND,3,1,964,14944,15908,0
E-Commerce,9600000.0,CHN,2,3,1095,12784,13879,0
Social Media,2800000.0,HKG,2,8,440,15111,15551,0
Business Analytics|Enterprise Software|SaaS|Software,7200000.0,USA,3,5,533,15960,16493,0
Software|Technology,900000.0,USA,1,6,0,16013,16013,0
Enterprises|Enterprise Software|iPad|Presentations|SaaS|Training,925000.0,USA,2,3,126,15855,15981,1
Games|Virtual Worlds,100000000.0,CHN,1,1,0,13958,13958,0
Digital Media|News|Social Media,3500000.0,USA,1,2,0,16513,16513,0
Chemicals,2500000.0,USA,1,4,0,16489,16489,0
Innovation Engineering|Manufacturing|Water Purification,110000000.0,USA,1,1,0,16311,16311,0
Games|Social Games,10312103.0,USA,2,12,375,14683,15058,0
Games,560248.0,ESP,1,3,0,16405,16405,0
E-Commerce,50000.0,USA,1,1,0,15431,15431,0
Biotechnology,2100002.0,USA,2,3,1692,13034,14726,0
Clean Technology,115837966.0,GBR,1,1,0,15085,15085,0
Consumer Goods|Manufacturing|New Product Development,5000000.0,CHN,1,1,0,16457,16457,0
Mobile,14300000.0,USA,3,2,1036,12965,14001,0
Games,9300000.0,USA,1,1,0,15299,15299,0
Charity|Financial Services|Medical,50000.0,USA,1,1,0,16008,16008,0
Finance,6410000.0,IND,1,2,0,14131,14131,0
Pets,569355.0,GBR,1,1,0,16344,16344,0
Android|Business Productivity|CRM|iOS|iPad|iPhone|Mobile|Point of Sale|Productivity Software,20000.0,USA,2,1,140,16357,16497,0
Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,118000000.0,USA,4,13,3197,12784,15981,1
Batteries|Clean Technology|Energy Storage|Mobile,502860000.0,USA,8,12,2410,13088,15498,1
Music,50000000.0,CHN,2,5,433,12692,13125,1
Curated Web,1623640.0,CHN,2,1,214,15765,15979,0
Mobile,16474.0,CHN,1,1,0,16102,16102,0
Biotechnology,500000.0,USA,1,1,0,14977,14977,0
Search,6000000.0,USA,2,12,639,13514,14153,1
Application Platforms|Communications Infrastructure|Storage,14000000.0,USA,3,5,758,11535,12293,1
Consulting|Recruiting,3100000.0,IND,2,2,43,16420,16463,0
Human Resources,20000000.0,USA,1,1,0,16225,16225,0
Biotechnology,40000000.0,USA,1,1,0,15408,15408,1
Telecommunications,180000000.0,USA,1,4,0,12370,12370,0
Social Media,442457.0,BRA,3,2,489,15337,15826,0
Mobile,4260000.0,FIN,1,1,0,14398,14398,0
Health Care Information Technology|Medical|Therapeutics,12000000.0,FRA,1,2,0,16175,16175,0
Finance,4900000.0,NGA,1,1,0,16120,16120,0
Advertising|Analytics|E-Commerce|Optimization|Testing,1412834.0,FRA,1,2,0,16336,16336,0
EdTech|Education,3356695.0,ESP,1,1,0,16280,16280,0
Software,3409315.0,GBR,1,1,0,15918,15918,0
SaaS|Software,3500000.0,USA,2,14,301,16071,16372,0
Digital Media|Sales and Marketing|Social Media,41250.0,HKG,1,1,0,16071,16071,0
Music|Video Editing|Web Development,263400.0,IRL,1,2,0,13514,13514,0
Software,1770000.0,FRA,1,2,0,13095,13095,1
Software,4540000.0,DEU,1,3,0,13216,13216,0
Curated Web,4400000.0,USA,2,5,1095,13273,14368,0
E-Commerce|Fashion|Women,875000.0,USA,5,3,346,15916,16262,1
Business Services,375000.0,RUS,1,1,0,15609,15609,0
Biotechnology,2000000.0,CAN,1,1,0,16188,16188,0
Biotechnology,805908.0,GBR,1,2,0,13777,13777,0
Biotechnology,10207905.0,GBR,4,8,1454,15119,16573,0
Health Care,2012700.0,USA,1,1,0,15308,15308,0
Biotechnology,12850000.0,USA,3,1,589,16055,16644,0
E-Commerce,19148000.0,USA,5,21,1319,14789,16108,0
Health Care,583000000.0,USA,4,5,2671,13496,16167,0
Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,21000000.0,USA,3,8,756,15839,16595,0
Curated Web|Privacy,6467283.0,USA,1,2,0,15167,15167,0
Health Care|Health Diagnostics,12853396.0,GBR,3,2,1191,15425,16616,0
Biotechnology|Robotics|Technology,50000.0,USA,1,2,0,16469,16469,0
Cloud Computing|Cloud Infrastructure|Cloud Management|M2M|Open Source|Software|Virtualization|Web Hosting,26898770.0,USA,10,13,2778,13879,16657,0
Accounting|Consulting|CRM|Marketing Automation|Project Management,500000.0,USA,1,1,0,14160,14160,0
Innovation Engineering|Medical|Medical Devices,21800000.0,USA,1,7,0,13711,13711,1
Biotechnology,42980577.0,USA,7,4,1408,15343,16751,0
Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,17500000.0,USA,4,27,1352,15320,16672,0
M2M|Software,50000.0,USA,1,1,0,15579,15579,0
Biotechnology,12000000.0,USA,1,2,0,14764,14764,0
Local|Services|Translation,250000.0,USA,1,1,0,16450,16450,0
Big Data|Cloud Computing|Infrastructure|Mobile|Wireless,3000000.0,CHN,1,2,0,16102,16102,0
Biotechnology,186036236.0,BEL,6,17,4340,11955,16295,1
Real Estate|Search,2518000.0,USA,4,8,843,15709,16552,0
Clean Technology|Solar,510000000.0,USA,2,5,162,14796,14958,0
Big Data|Consumers|Personal Finance|Retirement,3000000.0,USA,2,1,202,16506,16708,0
Curated Web|Identity|Identity Management,17087500.0,USA,3,9,1631,14600,16231,0
Contact Management|Curated Web|Events,4439407.0,USA,6,2,1453,15095,16548,0
Curated Web,7618249.0,USA,3,1,232,14209,14441,0
Software,13600000.0,USA,2,9,470,12465,12935,0
Information Security|Security,1737170.0,CHE,1,1,0,12677,12677,0
Health and Wellness,2810000.0,USA,3,4,721,15679,16400,0
Financial Services,14000000.0,USA,2,10,189,16499,16688,0
Advertising|Digital Media|Education|Media|News|Publishing,422000000.0,BRA,1,1,0,13277,13277,0
Education,50000.0,USA,1,1,0,14903,14903,0
Clean Technology,4500000.0,USA,2,4,1249,14784,16033,0
Clean Technology|Energy|Oil,661000.0,SWE,1,2,0,14741,14741,0
Analytics,20000000.0,USA,1,1,0,15575,15575,0
Software,200000.0,USA,1,1,0,16199,16199,0
Crowdsourcing|Curated Web|Sports,1220000.0,IND,2,2,519,15243,15762,0
Biotechnology,1663801.11900538,GBR,2,3,865,15904,16769,0
Health Care,28364818.0,USA,10,7,1644,14523,16167,0
B2B|Internet Service Providers|Security|Software,1300000.0,USA,1,1,0,16010,16010,0
Apps|Gamification|iOS|Mobile,15000.0,USA,1,1,0,15480,15480,0
Web Hosting,23000000.0,USA,2,4,520,15320,15840,0
Software,762000.0,USA,1,1,0,15793,15793,0
Biotechnology,33500000.0,GBR,2,4,887,15064,15951,0
Business Services|Intellectual Asset Management|Licensing,255100000.0,USA,3,1,4474,10917,15391,1
Semiconductors,368000.0,PRT,1,1,0,12937,12937,0
Social Media,17800000.0,USA,4,10,2155,13819,15974,0
Advertising|Education|Lead Generation|Portals,10000000.0,USA,1,1,0,14245,14245,0
Education,2000000.0,USA,1,4,0,12631,12631,1
